max_step,strategy,accuracy,macro_f1,n_examples,accuracy_pct,macro_f1_pct
2,PER_STEP_DECODE,0.5111111111111111,0.5066036516381135,90,51.11,50.66
2,K2_LATENT_REUSE,0.37777777777777777,0.34365448504983387,90,37.78,34.37
4,PER_STEP_DECODE,0.62,0.6153874620023766,150,62.0,61.54
4,K2_LATENT_REUSE,0.48,0.4658141312239673,150,48.0,46.58
6,PER_STEP_DECODE,0.6047619047619047,0.6105040670258062,210,60.48,61.05
6,K2_LATENT_REUSE,0.5666666666666667,0.5605441964310295,210,56.67,56.05
8,PER_STEP_DECODE,0.6037037037037037,0.6055352094924288,270,60.37,60.55
8,K2_LATENT_REUSE,0.6037037037037037,0.5968767532412492,270,60.37,59.69
10,PER_STEP_DECODE,0.6575757575757576,0.6599765661533288,330,65.76,66.0
10,K2_LATENT_REUSE,0.6181818181818182,0.6084952043605023,330,61.82,60.85
12,PER_STEP_DECODE,0.6282051282051282,0.6278283024674892,390,62.82,62.78
12,K2_LATENT_REUSE,0.6358974358974359,0.6237693693203442,390,63.59,62.38
