subject,predicate,object
r3 SOP package,is,process/control update package
r3 SOP package,does not primarily add,new architecture evidence
Universal scope,replaces,project-specific-only SOP framing
VERIFY stage,is made explicit in,master loop
Evaluation theater,is named and governed by,new explicit rule
Substrate claims,require,empirical foothold before promotion
Distinct workstreams,must maintain,separate scorecards
Process automation debt,must be,named explicitly
Self-evaluation rule,requires,the process itself to be audited
TQ2,remains,canonical discrete geometric substrate
K2,remains,live fast lane
K3,remains,"meta/checkpoint only, not live control"
Project A,remains,theory-first with limited empirical foothold
Project B,remains,runtime/reasoning path with real signal
"Whole-plane, blockwise, hybrid strata",should be,separated to measure and composed to run
z80-LM lineage,is,"historical ancestor, not normative architecture"
Rehydration order,must start with,SOP then control docs then seam artifacts
