task,model,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1,transforms_per_inference,ops_per_inference,bytes_touched_per_inference,storage_footprint_bytes,mean_accuracy_pct,std_accuracy_pct,mean_macro_f1_pct,std_macro_f1_pct
T1 Whole-plane motif invariance,BASE-0,0.615625,0.06160293722705112,0.5888443548939117,0.061094772690113375,0,36,36,36,61.56,6.16,58.88,6.11
T1 Whole-plane motif invariance,RB-2A,0.9712500000000001,0.018582585934148133,0.9706213521040178,0.019136813273843607,32,288,288,36,97.12,1.86,97.06,1.91
T1 Whole-plane motif invariance,RB-2B,0.47124999999999995,0.0497022383801776,0.4278568264564232,0.05139505088783462,72,216,216,36,47.12,4.97,42.79,5.14
T1 Whole-plane motif invariance,RB-2R,0.706875,0.04192161584433501,0.6386265925168003,0.03941020426407023,104,512,504,36,70.69,4.19,63.86,3.94
T2 Block composition invariance,BASE-0,0.7675000000000001,0.034550687402713144,0.7283093896032629,0.03586791218065888,0,27,27,27,76.75,3.46,72.83,3.59
T2 Block composition invariance,RB-2A,0.8018749999999999,0.042988915722544103,0.7764942993553403,0.05013774423717422,24,216,216,27,80.19,4.3,77.65,5.01
T2 Block composition invariance,RB-2B,1.0,0.0,1.0,0.0,54,162,162,27,100.0,0.0,100.0,0.0
T2 Block composition invariance,RB-2R,0.999375,0.0027243118397129113,0.9994152046783625,0.002549063709672909,78,386,378,27,99.94,0.27,99.94,0.25
T3 Majority-sign sanity,BASE-0,0.8293750000000001,0.04370980296226465,0.6084505699630203,0.014636834503301556,0,27,27,27,82.94,4.37,60.85,1.46
T3 Majority-sign sanity,RB-2A,0.8293750000000001,0.04370980296226465,0.6084505699630203,0.014636834503301556,24,216,216,27,82.94,4.37,60.85,1.46
T3 Majority-sign sanity,RB-2B,0.40437500000000004,0.04631330127511966,0.19144211738636527,0.015703957699365154,54,162,162,27,40.44,4.63,19.14,1.57
T3 Majority-sign sanity,RB-2R,0.40437500000000004,0.04631330127511966,0.19144211738636527,0.015703957699365154,78,386,378,27,40.44,4.63,19.14,1.57
T4 Mixed global+local motifs,BASE-0,0.3575,0.041344588521353066,0.32963587551746387,0.039338627351368394,0,36,36,36,35.75,4.13,32.96,3.93
T4 Mixed global+local motifs,RB-2A,0.53125,0.059358550352918836,0.44943779107831894,0.04183408569756164,32,288,288,36,53.12,5.94,44.94,4.18
T4 Mixed global+local motifs,RB-2B,0.3675,0.05052845732851934,0.2417000257208503,0.03054735992520553,72,216,216,36,36.75,5.05,24.17,3.05
T4 Mixed global+local motifs,RB-2R,0.48249999999999993,0.054686607135568395,0.39088086373286085,0.04320472282461141,104,512,504,36,48.25,5.47,39.09,4.32
